127.0.0.1 - - [08/Jul/2015:07:18:19 -0400] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [08/Jul/2015:07:18:26 -0400] "GET /MikeGames/troubleshoot.html HTTP/1.1" 200 2157
0:0:0:0:0:0:0:1 - - [08/Jul/2015:07:18:26 -0400] "GET /MikeGames/stylesheet.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2015:07:18:26 -0400] "GET /MikeGames/img/plugin_disable.jpg HTTP/1.1" 200 313634
0:0:0:0:0:0:0:1 - - [08/Jul/2015:07:18:26 -0400] "GET /MikeGames/img/npapi_disable.jpg HTTP/1.1" 200 271802
0:0:0:0:0:0:0:1 - - [08/Jul/2015:07:18:26 -0400] "GET /MikeGames/img/logo.gif HTTP/1.1" 200 66986
0:0:0:0:0:0:0:1 - - [08/Jul/2015:07:19:36 -0400] "GET /MikeGames/index.jsp HTTP/1.1" 200 1253
0:0:0:0:0:0:0:1 - - [08/Jul/2015:07:20:15 -0400] "GET /MikeGames/index.jsp HTTP/1.1" 200 1232
0:0:0:0:0:0:0:1 - - [08/Jul/2015:07:20:15 -0400] "GET /MikeGames/stylesheet.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2015:07:20:15 -0400] "GET /MikeGames/img/logo.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2015:07:20:42 -0400] "GET /MikeGames/index.jsp HTTP/1.1" 200 1265
0:0:0:0:0:0:0:1 - - [08/Jul/2015:07:20:43 -0400] "GET /MikeGames/stylesheet.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2015:07:20:43 -0400] "GET /MikeGames/img/logo.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2015:07:21:20 -0400] "GET /MikeGames/troubleshoot.html HTTP/1.1" 200 2157
0:0:0:0:0:0:0:1 - - [08/Jul/2015:07:21:20 -0400] "GET /MikeGames/stylesheet.css HTTP/1.1" 200 2070
0:0:0:0:0:0:0:1 - - [08/Jul/2015:07:21:20 -0400] "GET /MikeGames/img/logo.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2015:07:21:20 -0400] "GET /MikeGames/img/npapi_disable.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2015:07:21:20 -0400] "GET /MikeGames/img/plugin_disable.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2015:07:21:20 -0400] "GET /MikeGames/img/bg.png HTTP/1.1" 200 5811
0:0:0:0:0:0:0:1 - - [08/Jul/2015:07:21:27 -0400] "GET /MikeGames/index.jsp HTTP/1.1" 200 1265
0:0:0:0:0:0:0:1 - - [08/Jul/2015:07:21:27 -0400] "GET /MikeGames/stylesheet.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2015:07:21:49 -0400] "GET /MikeGames/index.jsp HTTP/1.1" 200 1265
0:0:0:0:0:0:0:1 - - [08/Jul/2015:07:21:49 -0400] "GET /MikeGames/stylesheet.css HTTP/1.1" 200 2070
0:0:0:0:0:0:0:1 - - [08/Jul/2015:07:21:49 -0400] "GET /MikeGames/img/logo.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2015:07:21:49 -0400] "GET /MikeGames/img/bg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2015:07:21:53 -0400] "GET /MikeGames/about.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2015:07:21:53 -0400] "GET /MikeGames/stylesheet.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2015:07:21:57 -0400] "GET /MikeGames/troubleshoot.html HTTP/1.1" 200 2157
0:0:0:0:0:0:0:1 - - [08/Jul/2015:07:21:57 -0400] "GET /MikeGames/stylesheet.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2015:07:21:57 -0400] "GET /MikeGames/img/plugin_disable.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2015:07:21:57 -0400] "GET /MikeGames/img/npapi_disable.jpg HTTP/1.1" 304 -
