127.0.0.1 - - [01/Jul/2015:06:35:25 -0400] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [01/Jul/2015:06:35:37 -0400] "GET /MikeGames/ HTTP/1.1" 200 1197
0:0:0:0:0:0:0:1 - - [01/Jul/2015:06:35:37 -0400] "GET /MikeGames/stylesheet.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2015:06:35:37 -0400] "GET /MikeGames/img/logo.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2015:06:35:46 -0400] "GET /MikeGames/ HTTP/1.1" 200 1197
0:0:0:0:0:0:0:1 - - [01/Jul/2015:06:35:46 -0400] "GET /MikeGames/stylesheet.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2015:06:35:46 -0400] "GET /MikeGames/img/logo.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2015:06:35:49 -0400] "GET /MikeGames/img/bg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2015:06:35:52 -0400] "GET /MikeGames/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2015:06:35:52 -0400] "GET /MikeGames/login_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2015:06:35:56 -0400] "GET /MikeGames/register.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2015:06:35:56 -0400] "GET /MikeGames/register_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2015:06:37:23 -0400] "POST /MikeGames/process_reg.jsp HTTP/1.1" 500 7852
0:0:0:0:0:0:0:1 - - [01/Jul/2015:07:04:21 -0400] "GET /MikeGames/register.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2015:07:04:21 -0400] "GET /MikeGames/register_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2015:07:04:21 -0400] "GET /MikeGames/stylesheet.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2015:07:04:21 -0400] "GET /MikeGames/img/logo.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2015:07:04:21 -0400] "GET /MikeGames/img/bg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2015:07:04:35 -0400] "POST /MikeGames/process_reg.jsp HTTP/1.1" 500 4020
0:0:0:0:0:0:0:1 - - [01/Jul/2015:07:04:50 -0400] "GET /MikeGames/register.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2015:07:04:50 -0400] "GET /MikeGames/stylesheet.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2015:07:04:50 -0400] "GET /MikeGames/register_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2015:07:04:50 -0400] "GET /MikeGames/img/logo.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2015:07:04:50 -0400] "GET /MikeGames/img/bg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2015:07:04:55 -0400] "POST /MikeGames/process_reg.jsp HTTP/1.1" 500 4017
0:0:0:0:0:0:0:1 - - [01/Jul/2015:07:05:52 -0400] "GET /MikeGames/register.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2015:07:05:52 -0400] "GET /MikeGames/register_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2015:07:05:52 -0400] "GET /MikeGames/stylesheet.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2015:07:05:52 -0400] "GET /MikeGames/img/logo.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2015:07:05:52 -0400] "GET /MikeGames/img/bg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2015:07:07:10 -0400] "POST /MikeGames/process_reg.jsp HTTP/1.1" 500 7853
0:0:0:0:0:0:0:1 - - [01/Jul/2015:07:07:57 -0400] "GET /MikeGames/register.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2015:07:07:57 -0400] "GET /MikeGames/register_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2015:07:07:57 -0400] "GET /MikeGames/stylesheet.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2015:07:07:57 -0400] "GET /MikeGames/img/logo.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2015:07:07:57 -0400] "GET /MikeGames/img/bg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2015:07:09:19 -0400] "POST /MikeGames/process_reg.jsp HTTP/1.1" 500 7852
0:0:0:0:0:0:0:1 - - [01/Jul/2015:07:58:56 -0400] "GET /MikeGames/register.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2015:07:58:56 -0400] "GET /MikeGames/stylesheet.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2015:07:58:56 -0400] "GET /MikeGames/register_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2015:07:58:56 -0400] "GET /MikeGames/img/logo.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2015:07:58:56 -0400] "GET /MikeGames/img/bg.png HTTP/1.1" 304 -
